P_NAME,P_MASS,P_RADIUS,P_GRAVITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE_TEMP,P_HABITABLE,P_ESI
Kepler-147 b,,1.52456,,0.113,198.08077,955.77461,Hot,0,0.28474403
Kepler-147 c,,2.43257,,0.216,54.211535,691.30203,Hot,0,0.25735561
Kepler-1470 b,,1.06495,,0.11674655,22.998769,557.91888,Hot,0,0.35144035
Kepler-1471 b,,1.41246,,0.045506312,384.04046,1127.8183,Hot,0,0.28625305
Kepler-1472 b,,1.9057,,0.23290734,37.134974,628.91317,Hot,0,0.29465776
Kepler-1473 b,,1.18826,,0.1193373,99.87615,805.39765,Hot,0,0.30424791
Kepler-1474 b,,2.16353,,0.21786462,24.240094,565.29935,Hot,0,0.29890307
Kepler-1475 b,,2.92581,,0.39081548,14.330128,495.68688,Hot,0,0.29404799
Kepler-1476 b,,1.67029,,0.092353465,99.565979,804.77162,Hot,0,0.28458737
Kepler-1477 b,,1.17705,,0.093223497,42.433395,650.23726,Hot,0,0.32300695
Kepler-1478 b,,1.72634,,0.17435623,40.235633,641.64914,Hot,0,0.30131328
Kepler-1479 b,,1.82723,,0.11613161,72.003468,742.1356,Hot,0,0.28181836
Kepler-148 b,,1.80481,,0.028,637.84043,1280.3329,Hot,0,0.26648704
Kepler-148 c,,3.59841,,0.05,200.02676,958.11344,Hot,0,0.1939287
Kepler-148 d,,8.67654,,,,,,0,
Kepler-1480 b,,1.67029,,0.14608141,19.46796,535.14937,Hot,0,0.33775744
Kepler-1481 b,,1.2331,,0.059589748,82.354303,767.47897,Hot,0,0.30592371
Kepler-1482 b,,1.0089,,0.099659431,53.365721,688.58967,Hot,0,0.31889899
Kepler-1483 b,,1.52456,,0.094599327,316.4488,1074.5355,Hot,0,0.28215152
Kepler-1484 b,,2.10748,,0.18692057,23.397453,560.3212,Hot,0,0.30365832
Kepler-1485 b,,1.46851,,0.14884994,69.637083,735.96143,Hot,0,0.29992994
Kepler-1486 b,,2.32047,,0.28909596,17.024816,517.50615,Hot,0,0.31132689
Kepler-1487 b,,2.1299,,0.082121226,646.14443,1284.4799,Hot,0,0.25028308
Kepler-1488 b,,1.86086,,0.23189934,32.803798,609.71369,Hot,0,0.30153128
Kepler-1489 b,,1.77118,,0.36134217,5.6841666,393.3794,Hot,0,0.46682874
Kepler-149 b,,4.21496,,0.184,20.024062,538.93074,Hot,0,0.225775
